"PeriodeDeReference","Geo","Dguid","Infractions","Statistiques","UniteDeMesure","IdentificationDUniteDeMesure","FacteurScalaire","IdentificateurScalaire","Vecteur","Coordonnees","Valeur","Status","Symbole","Termine","Decimales"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Nombre d'affaires réel","Nombre","223","unités","0","v44345802","10.80.1","329","","","","0"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Taux pour 100 000 habitants","Taux","257","unités","0","v44372028","10.80.2","197.61","","","","2"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Variation du taux en pourcentage","Pourcent","239","unités","0","v44384950","10.80.3","","..","","","2"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Total des affaires classées","Nombre","223","unités","0","v44357693","10.80.4","238","","","","0"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Affaires classées par mise en accusation","Nombre","223","unités","0","v44413889","10.80.5","166","","","","0"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Affaires classées sans mise en accusation","Nombre","223","unités","0","v44377868","10.80.6","72","","","","0"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Total des personnes inculpées","Nombre","223","unités","0","v44330554","10.80.7","135","","","","0"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Taux, total des personnes inculpées pour 100 000 personnes de 12 ans et plus","Taux","257","unités","0","v44415447","10.80.8","0.00","","","","2"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Total des adultes inculpés","Nombre","223","unités","0","v44338812","10.80.9","129","","","","0"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Taux d'adultes inculpés pour 100 000 personnes de 18 ans et plus","Taux","257","unités","0","v44348576","10.80.10","0.00","","","","2"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Total des jeunes inculpés","Nombre","223","unités","0","v44408745","10.80.11","6","","","","0"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Taux de jeunes inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v44372079","10.80.12","0.00","","","","2"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Total des jeunes non inculpés","Nombre","223","unités","0","v53084239","10.80.13","15","","","","0"
"1998","Saguenay, Québec [24408]","2011S0503408","Fraude [2160]","Taux de jeunes non inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v53084240","10.80.14","0.00","","","","2"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Nombre d'affaires réel","Nombre","223","unités","0","v44363913","11.80.1","1330","","","","0"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Taux pour 100 000 habitants","Taux","257","unités","0","v44378148","11.80.2","192.67","","","","2"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Variation du taux en pourcentage","Pourcent","239","unités","0","v44401405","11.80.3","","..","","","2"
"1998","Québec, Québec [24421]","2011S0503421","Fraude [2160]","Total des affaires classées","Nombre","223","unités","0","v44365531","11.80.4","1067","","","","0"
